customer_id,age_group,region,branch_code,registration_date
CUST000152, 26-40,north,BR0113,2021-05-29
CUST000153,60+,EAST ,BR0052,17-02-2023
CUST000154, 60+,North,BR0051,15/03/2023
CUST000155, 60+,North,BR0103,2026-07-25
CUST000156,41-60,E,BR0107,2021-09-21
CUST000157,41 - 60,W,BR0116,07-08-2015
CUST000158,26 - 40,West,BR0093,25/04/2018
CUST000159,,EAST ,BR0089,30/07/2025
CUST000160,18 - 25,S,BR0085,2018-11-19
CUST000161,41 - 60,E,BR0032,04/09/2021
CUST000162,60+,east,BR0087,07/11/2023
CUST000163,26-40,north,BR0084,14/07/2019
CUST000164,41-60,South,BR0116,2016-03-06
CUST000165,60+,SOUTH,BR0119,2025-09-01
CUST000166,41-60,NORTH,BR0030,11/02/2015
CUST000167,26-40, WEST ,BR0096,2015-11-03
CUST000168,18-25,West,BR0060,2022-06-01
CUST000169,41 - 60,east,BR0097,04/02/2024
CUST000170,18_25,South,BR0120,2020-04-13
CUST000171,41-60,north,BR0089,2025-06-09
CUST000172,41 - 60,east,BR0029,16-03-2025
CUST000173,60 +,W,BR0106,2016-11-01
CUST000174,41-60,NORTH,BR0116,2018-05-12
CUST000175,60+,WEST,BR0058,2026-07-06
CUST000176,60 +,NORTH ,BR0001,2016-01-07
CUST000177,18-25,WEST,BR0024,2024-06-05
CUST000178,60_plus,south,BR0069,30/12/2019
CUST000179,41_60,W,BR0030,2021-03-08
CUST000180,18-25,W,BR0114,2016-07-05
CUST000181,18-25, WEST ,BR0028,2018-02-21
CUST000182,41-60 ,East,BR0019,2024-04-10
CUST000183,26 - 40,WEST,BR0083,24-02-2022
CUST000184,41_60,West,BR0039,05/21/2025
CUST000185, 60+,West,BR0043,2023-04-28
CUST000186,26-40,NORTH,BR0098,2019-11-13
CUST000187,41-60,North,BR0095,09/28/2025
CUST000188,26_40,east,BR0069,2023-01-25
CUST000189,18 - 25,East,BR0053,2018-04-10
CUST000190,60+,East,BR0107,2022-07-28
CUST000191,60_plus,East,BR0070,2016-04-26
CUST000192,18 - 25,NORTH ,BR0081,2015-03-16
CUST000193, 18-25 ,,BR0069,2021-02-28
CUST000194,60+,N,BR0025,2022-12-13
CUST000195,41_60,South,BR0106,2015-09-17
CUST000196,60+,SOUTH,BR0056,20/02/2017
CUST000197,26-40,west,BR0010,2015-09-27
CUST000198,18-25,WEST,BR0073,23-09-2023
CUST000199,60 +,N,BR0045,2016-09-14
CUST000200,60+,EAST ,BR0046,02-03-2019
CUST000201, 18-25 ,SOUTH,BR0020,17-06-2018
CUST000202,,EAST ,BR0035,2024-08-31
CUST000203,60+,E,BR0077,2015-04-12
CUST000204,18 - 25,S,BR0088,2021-10-02
CUST000205,26_40,EAST ,BR0047,13-02-2026
CUST000206,18-25,west,BR0049,2022-07-05
CUST000207,26-40, SOUTH,BR0051,01/05/2026
CUST000208,41_60,west,BR0073,13-01-2019
CUST000209,60 +,EAST,BR0102,14-02-2018
CUST000210,26 - 40,WEST,BR0077,05/13/2026
CUST000211, 60+,E,BR0118,2022-12-18
CUST000212,60+,,BR0034,2019-12-16
CUST000213,26-40,WEST,BR0118,2018-03-06
CUST000214, 26-40,WEST,BR0090,02/01/2016
CUST000215,41 - 60,South,BR0071,2025-05-13
CUST000216,26-40, WEST ,BR0079,2024-08-19
CUST000217,26-40,N,BR0112,2019-06-03
CUST000218, 60+,E,BR0051,08-04-2025
CUST000219,41-60 ,south,BR0040,2018-03-04
CUST000220, 26-40, SOUTH,BR0089,20-11-2018
CUST000221,26-40,W,BR0046,18/05/2019
CUST000222,60_plus, WEST ,BR0011,2019-12-12
CUST000223,41-60,W,BR0074,2023-03-25
CUST000224, 60+,WEST,BR0084,2015-09-22
CUST000225,18_25,North,BR0095,2024-08-08
CUST000226,26-40,E,BR0069,2021-07-25
CUST000227,18-25,WEST,BR0111,2017-12-23
CUST000228,26 - 40,S,BR0081,2017-02-01
CUST000229,41_60,,BR0100,13-04-2025
CUST000230, 18-25 ,West,BR0042,05-12-2017
CUST000231,41 - 60,NORTH,BR0108,
CUST000232,60+,south,BR0120,2023-01-31
CUST000233,26-40,East,br0012,2025-09-11
CUST000234,,EAST,BR0055,2020-02-19
CUST000235,18-25,East,BR0105,2018-03-16
CUST000236,26_40,South,BR0079,11/12/2016
CUST000237, 18-25 ,EAST ,BR0018,25-07-2020
CUST000238,41 - 60,East,BR0066,23/03/2016
CUST000239,26_40, SOUTH,BR0010,02/06/2023
CUST000240,60+, SOUTH,BR0099,2015-04-23
CUST000241,18_25, WEST ,BR0011,2018-06-04
CUST000242,26-40,W,BR0107,15-12-2021
CUST000243,26-40,WEST,BR0078,2018-12-09
CUST000244,18-25,E,BR0106,05-11-2017
CUST000245,18-25,west,BR0034,2016-09-23
CUST000246,18_25,south,BR0099,2017-08-02
CUST000247,18-25,west,BR0020,17-10-2015
CUST000248,60+,west,BR0010,2016-03-07
CUST000249,18_25,west,BR0040,2015-03-07
CUST000250,41 - 60,west,BR0064,2020-07-01
CUST000251,18-25,,BR0085,2021-11-24
CUST000252,26_40,North,BR0012,06-04-2024
CUST000253, 18-25 , SOUTH,BR0073,2017-12-06
CUST000254,41_60,east,BR0030,2017-06-11
CUST000255,60+,East,BR0060,15/07/2018
CUST000256,18-25,East,BR0032,06-02-2016
CUST000257,26-40,W,BR0032,2018-02-19
CUST000258,26-40,west,BR0083,2016-09-06
CUST000259,60+,EAST,BR0060,18/09/2024
CUST000260,18_25,south,BR0024,2018-05-02
CUST000261,26 - 40,W,BR0012,22-06-2019
CUST000262,26 - 40,NORTH ,BR0046,09/19/2022
CUST000263,60+,E,BR0115,2025-07-31
CUST000264,26-40,south,BR0102,03-12-2019
CUST000265,60+,South,BR0041,20-08-2015
CUST000266, 26-40,W,BR0063,2019-11-28
CUST000267,41-60 ,south,BR0118,2016-05-02
CUST000268,26-40,EAST,BR0085,2021-10-08
CUST000269,60 +,East,BR0072,2023-01-02
CUST000270,26_40,East,BR0001,13/10/2023
CUST000271,18-25,S,BR0064,2020-05-03
CUST000272,18 - 25,,BR0027,03/10/2020
CUST000273,18_25,West,BR0064,2023-06-02
CUST000274,26-40,north,BR0034,25/10/2018
CUST000275, 18-25 ,north,BR0079,09/03/2024
CUST000276,60+,East,BR0053,13-12-2020
CUST000277,18-25,West,BR0001,2025-10-09
CUST000278,26 - 40,NORTH ,BR0040,2020-12-10
CUST000279,26-40,East,BR0034,09-01-2021
CUST000280,18-25,W,BR0008,05/22/2024
CUST000281, 60+,west,BR0116,2018-04-22
CUST000282,26-40,South,BR0011,26/04/2018
CUST000283,18-25,W,BR0036,12/04/2015
CUST000284,60+,S,BR0098,15-05-2017
CUST000285,41-60 ,west,BR0063,2018-11-11
CUST000286,60+,East,BR0061,2015-06-15
CUST000287,41-60,North,BR0096,16-01-2021
CUST000288,18-25, WEST ,BR0112,2018-07-26
CUST000289,60+,North,BR0107,2015-09-28
CUST000290,26-40,W,BR0119,2023-05-10
CUST000291, 60+,East,BR0034,2021-05-24
CUST000292,26-40,south,BR0066,2015-03-14
CUST000293, 26-40,south,BR0040,2021-03-05
CUST000294,41_60,west,BR0106,2015-03-02
CUST000295,41-60 ,east,BR0062,17/04/2022
CUST000296,41-60,SOUTH,BR0103,03-03-2022
CUST000297,60+, WEST ,BR0005,2019-04-05
CUST000298,60 +,East,BR0113,2025-07-23
CUST000299,26 - 40,North,BR0096,2022-06-07
CUST000300,60+,NORTH ,BR0065,2021-09-10
CUST000301,26-40,EAST ,BR0115,04/02/2022
CUST000302,18_25,south,BR0001,13-10-2018
CUST000303,18-25, WEST ,BR0062,22-06-2019
CUST000304,41-60 ,North,BR0113,2023-08-09
CUST000305,18-25,EAST ,BR0077,2018-01-01
CUST000306,41-60,WEST,BR0094,29-06-2015
CUST000307,41 - 60,NORTH ,BR0033,28-01-2016
CUST000308,18-25, WEST ,BR0071,11-08-2019
CUST000309,41_60,E,BR0018,22-06-2026
CUST000310,18-25,south,BR0026,2018-08-06
CUST000311,26 - 40,,BR0086,2026-01-30
CUST000312,18 - 25,East,BR0038,02/12/2018
CUST000313,41 - 60,NORTH,BR0114,2018-10-28
CUST000314,41 - 60,East,BR0052,26-08-2023
CUST000315,60 +,SOUTH,BR0093,2018-07-29
CUST000316, 60+,S,BR0046,2017-12-06
CUST000317,60_plus,,BR0112,01/09/2020
CUST000318,41-60 ,NORTH ,BR0032,2023-08-19
CUST000319,18-25,S,BR0110,2026-01-10
CUST000320,41-60, WEST ,BR0011,2025-01-18
CUST000321,41-60,NORTH,br0005,14/01/2017
CUST000322,41-60 ,west,BR0007,12-06-2022
CUST000323,60 +,WEST,BR0085,2021-07-19
CUST000324,18-25,West,BR0096,2019-05-24
CUST000325,60+,south,BR0054,06/10/2017
CUST000326,,N,BR0108,22-12-2018
CUST000327,26-40,E,BR0054,2020-07-26
CUST000328,41_60, SOUTH,BR0114,15-01-2022
CUST000329,26-40,east,BR0017,2018-12-27
CUST000330,41 - 60,E,BR0074,31/05/2021
CUST000331, 18-25 ,West,BR0008,08/11/2018
CUST000332,26-40,East,BR0005,12-01-2020
CUST000333, 26-40,EAST,BR0050,01/05/2022
CUST000334,41-60,West,BR0091,29/05/2019
CUST000335,41_60,North,BR0095,2024-08-11
CUST000336, 26-40,north,BR0120,27-03-2022
CUST000337,41_60,EAST,BR0041,12/07/2016
CUST000338,60+,south,BR0038,08/26/2025
CUST000339,18-25,West,BR0079,23-11-2015
CUST000340,18_25,EAST,BR0106,2026-05-30
CUST000341,26-40,North,br0099,2016-06-20
CUST000342,26 - 40,North,BR0090,05-10-2024
CUST000343,26-40,EAST,BR0007,31-07-2016
CUST000344,41_60, WEST ,BR0050,02/06/2016
CUST000345,18-25,north,BR0039,2024-10-25
CUST000346,18_25,South,BR0102,2018-03-26
CUST000347,41-60,SOUTH,BR0074,2016-11-28
CUST000348,41-60,South,BR0079,25-01-2019
CUST000349, 18-25 ,north,BR0033,12/05/2025
CUST000350,26-40,North,BR0058,02-06-2018
CUST000351,41_60,East,BR0092,2023-01-23
CUST000352,60_plus,EAST ,BR0023,17/04/2021
CUST000353,26-40,NORTH,BR0109,01/02/2024
CUST000354, 18-25 ,West,BR0029,2021-07-11
CUST000355,18_25,North,BR0104,2026-07-13
CUST000356,26 - 40,EAST,BR0063,2020-04-01
CUST000357,41_60,WEST,BR0084,18/02/2021
CUST000358,26_40,E,BR0107,2019-12-31
CUST000359,41_60,N,BR0057,2021-04-19
CUST000360,41-60 ,North,BR0043,2025-09-27
CUST000361,60+,S,BR0018,2018-04-18
CUST000362, 26-40,north,BR0028,2025-10-20
CUST000363, 26-40,S,BR0034,03-03-2025
CUST000364,60_plus,North,BR0117,10-05-2018
CUST000365, 18-25 ,NORTH,BR0017,10/01/2015
CUST000366, 60+,N,BR0103,11-11-2022
CUST000367,18_25,West,BR0011,
CUST000368, 18-25 ,NORTH ,BR0089,2017-05-23
CUST000369,41-60,W,BR0036,2019-07-27
CUST000370,60+,west,BR0074,05/02/2018
CUST000371,26_40,SOUTH,BR0052,2016-03-02
CUST000372,18-25,W,BR0009,06-11-2015
CUST000373, 60+,E,BR0100,2024-11-05
CUST000374,41-60,S,BR0005,2018-07-13
CUST000375,60+,W,BR0002,2017-01-08
CUST000376,41-60,East,BR0025,2015-02-08
CUST000377, 18-25 ,east,BR0103,11-08-2020
CUST000378,60+, WEST ,BR0111,2016-07-07
CUST000379,26 - 40,EAST ,BR0067,2020-11-27
CUST000380,41-60, SOUTH,BR0028,2019-04-07
CUST000381,26-40,South,BR0046,04-10-2016
CUST000382, 18-25 ,west,BR0064,2021-02-28
CUST000383,41_60,SOUTH,BR0055,2026-04-09
CUST000384,26_40,west,BR0002,2017-04-05
CUST000385,41-60,south,BR0079,2024-07-04
CUST000386,41-60,EAST ,BR0017,29-03-2017
CUST000387,60_plus, SOUTH,BR0023,30/01/2022
CUST000388,18_25,SOUTH,BR0033,02-02-2025
CUST000389,41-60 ,,BR0016,18-06-2019
CUST000390,26-40, WEST ,BR0049,01/04/2018
CUST000391,41_60,WEST,BR0044,14-07-2021
CUST000392,60+,E,BR0058,2015-07-09
CUST000393,41 - 60,North,BR0014,2025-08-12
CUST000394, 60+,NORTH,BR0020,2023-09-29
CUST000395,41_60,S,BR0004,18/04/2022
CUST000396,41-60 ,S,BR0081,2024-10-03
CUST000397,41-60,SOUTH,BR0047,2015-03-28
CUST000398,26-40,NORTH ,BR0062,27-07-2021
CUST000399,41-60, WEST ,BR0092,2023-06-27
CUST000400, 26-40,east,BR0069,2016-07-14
CUST000401, 60+,West,BR0020,03/04/2019
CUST000402,26 - 40,North,BR0002,27/12/2021
CUST000403,41_60,north,BR0097,2023-10-20
CUST000404,26-40,NORTH,BR0092,2024-12-07
CUST000405,26_40,N,BR0027,12/31/2021
CUST000406,18 - 25,north,BR0039,11/20/2019
CUST000407,,E,BR0102,29-08-2025
CUST000408,18-25,N,BR0098,14-06-2018
CUST000409,26_40,EAST ,BR0003,2018-01-08
CUST000410, 60+,West,BR0070,05/03/2021
CUST000411,26-40,west,br0070,2026-05-07
CUST000412, 18-25 ,south,BR0085,2019-04-05
CUST000413, 26-40,west,BR0067,2017-11-29
CUST000414,18_25,N,BR0050,2020-09-27
CUST000415,18-25, SOUTH,BR0107,2016-05-12
CUST000416,60+,N,BR0006,09/30/2016
CUST000417,18-25,West,BR0085,05-01-2019
CUST000418,18 - 25, WEST ,BR0022,2026-04-27
CUST000419,60+,east,BR0082,25-05-2020
CUST000420,41-60,,BR0005,01/11/2018
CUST000421,41-60,EAST,BR0089,20-06-2026
CUST000422,26-40,East,BR0047,30/09/2020
CUST000423, 60+,north,BR0023,20-02-2017
CUST000424,60+,east,BR0056,01-02-2020
CUST000425,18 - 25,WEST,BR0006,2022-05-01
CUST000426,18 - 25, WEST ,BR0074,01/07/2021
CUST000427,41-60,N,BR0011,04/12/2017
CUST000428,26_40,S,BR0095,21/12/2020
CUST000429,18-25,west,BR0042,2021-11-02
CUST000430, 60+,North,BR0048,2016-12-03
CUST000431,,north,BR0003,2019-10-02
CUST000432,41-60 ,SOUTH,BR0116,2018-10-27
CUST000433,41-60,NORTH,BR0035,29/01/2023
CUST000434,60+,north,BR0077,03/25/2026
CUST000435,18-25,east,BR0096,2022-11-22
CUST000436,41-60,WEST,BR0036,24-10-2023
CUST000437, 60+, SOUTH,BR0020,2022-05-21
CUST000438, 26-40,South,BR0091,08/24/2024
CUST000439,26 - 40,south,BR0069,14/02/2022
CUST000440,18-25, WEST ,BR0096,2021-02-20
CUST000441,26-40,E,BR0030,2015-08-02
CUST000442,60+,west,BR0050,2019-05-03
CUST000443,18-25,South,BR0009,07/11/2024
CUST000444,41_60, WEST ,BR0078,2022-01-07
CUST000445, 18-25 ,WEST,BR0032,18-11-2015
CUST000446,18-25,west,BR0037,22-03-2016
CUST000447,60 +,North,BR0115,2024-04-10
CUST000448, 60+, SOUTH,BR0042,05-09-2018
CUST000449,18 - 25,EAST,BR0050,2018-08-02
CUST000450,26-40,South,BR0023,2021-11-28
CUST000451,60+,North,BR0001,2025-04-15
CUST000452, 18-25 ,South,BR0061,2015-02-23
CUST000453,26-40,north,BR0110,2021-09-10
CUST000454,18_25,south,BR0089,12/24/2018
CUST000455,41-60,east,BR0049,2016-06-15
CUST000456,41-60,South,BR0014,2016-12-19
CUST000457,41_60,east,BR0080,2026-02-18
CUST000458,60+,south,BR0001,24-08-2017
CUST000459,60_plus,E,,07-07-2019
CUST000460,18-25,EAST,BR0043,27/08/2015
CUST000461,41 - 60,WEST,BR0062,2022-07-08
CUST000462, 18-25 ,E,BR0027,2022-12-06
CUST000463,18-25,S,BR0024,30-11-2021
CUST000464,18-25,West,BR0107,2021-10-12
CUST000465,18-25,W,BR0062,08/18/2022
CUST000466,41-60,N,BR0017,11-09-2023
CUST000467,18-25,north,BR0006,2022-01-03
CUST000468,26-40,east,BR0099,2018-05-08
CUST000469,18-25,east,BR0091,2018-11-04
CUST000470,41-60 ,SOUTH,BR0087,2016-12-06
CUST000471, 60+,East,BR0086,11-06-2025
CUST000472,60+, WEST ,BR0029,10/14/2020
CUST000473,41-60,NORTH,BR0045,01/05/2021
CUST000474, 26-40,north,BR0010,28-12-2023
CUST000475, 26-40, WEST ,BR0027,06-10-2024
CUST000476,26-40,N,BR0015,10/03/2017
CUST000477,60+,west,BR0085,12/02/2018
CUST000478,18-25,W,BR0079,2022-02-06
CUST000479,41_60,EAST,BR0079,10/11/2017
CUST000480,18-25,EAST,BR0111,04-11-2023
CUST000481,60_plus,South,BR0025,30/01/2023
CUST000482,,North,BR0063,2018-01-17
CUST000483,60_plus,W,BR0066,2023-08-18
CUST000484, 18-25 ,S,BR0119,07-11-2015
CUST000485, 18-25 ,North,BR0068,2021-04-08
CUST000486,18-25,N,BR0040,2015-03-30
CUST000487, 60+,west,BR0103,26-10-2021
CUST000488,18 - 25,S,BR0038,2021-06-07
CUST000489,18-25,east,BR0002,23-05-2018
CUST000490,26-40, SOUTH,BR0068,11/22/2016
CUST000491,26_40, WEST ,BR0057,2022-09-27
CUST000492,18-25, WEST ,BR0096,2020-03-29
CUST000493,60+,WEST,BR0103,2015-12-03
CUST000494,41_60,east,BR0103,2023-10-10
CUST000495,26 - 40,S,BR0089,28-03-2015
CUST000496,18_25,NORTH ,BR0093,14-07-2015
CUST000497, 26-40,NORTH,BR0017,22/02/2019
CUST000498,41-60,NORTH ,BR0036,2022-04-03
CUST000499,41-60,EAST,BR0105,01/11/2026
CUST000500,60+,North,BR0056,26-11-2024
CUST000501,18-25,,BR0064,06-11-2015
CUST000502,41_60, WEST ,BR0109,
CUST000503,60+,east,BR0052,2017-01-12
CUST000504,41-60,East,BR0006,14-09-2021
CUST000505,41_60,West,BR0025,2020-05-07
CUST000506,41_60,WEST,BR0008,2024-02-04
CUST000507,60 +,S,BR0010,2015-06-06
CUST000508,18-25,SOUTH,BR0007,2017-03-08
CUST000509,18-25,SOUTH,BR0055,2024-01-07
CUST000510,26-40,SOUTH,BR0043,2024-04-23
CUST000511,26_40,North,BR0109,2018-07-16
CUST000512,18-25,N,BR0054,04-09-2025
CUST000513,41-60 ,South,BR0005,22-12-2016
CUST000514,,South,BR0068,2026-05-20
CUST000515,26-40,North,BR0117,2015-12-20
CUST000516,26_40,WEST,BR0007,2015-08-27
CUST000517,26 - 40,EAST ,BR0087,2017-06-21
CUST000518,60+,SOUTH,BR0063,11/06/2019
CUST000519,60+,south,BR0026,2016-05-03
CUST000520,60_plus,East,BR0078,24-10-2018
CUST000521,26-40,West,BR0108,08-08-2024
CUST000522,41_60,S,BR0054,22-07-2025
CUST000523, 60+,NORTH ,BR0011,02/14/2024
CUST000524,41-60,NORTH,BR0040,07/19/2015
CUST000525,26 - 40,EAST ,BR0001,2022-06-20
CUST000526,41 - 60,SOUTH,BR0043,01/03/2023
CUST000527,41_60,east,BR0072,2019-08-05
CUST000528,18 - 25,South,BR0115,2021-03-20
CUST000529,60_plus,NORTH ,BR0087,19-02-2025
CUST000530,18-25,WEST,BR0115,2016-09-22
CUST000531,26_40,S,BR0003,2017-12-17
CUST000532,18-25,North,BR0067,09-09-2022
CUST000533, 60+, WEST ,BR0017,2020-10-30
CUST000534,41-60,EAST ,BR0080,2021-05-25
CUST000535,26-40,north,BR0057,12-10-2015
CUST000536,26-40,S,BR0118,04/05/2018
CUST000537,26-40,east,BR0038,19/04/2018
CUST000538,60+,WEST,BR0071,2019-12-11
CUST000539, 18-25 ,south,BR0011,12/16/2016
CUST000540,60+,north,BR0092,2023-05-13
CUST000541,41_60,North,BR0057,2024-12-03
CUST000542,60 +,S,BR0019,2022-07-10
CUST000543,,EAST ,BR0060,2018-01-26
CUST000544,41-60 ,E,BR0072,2015-01-21
CUST000545,60+,EAST ,BR0117,04/09/2017
CUST000546, 18-25 ,W,BR0034,2017-09-06
CUST000547,18-25,North,BR0113,2016-03-09
CUST000548,41-60,N,BR0081,2018-10-01
CUST000549,41-60,EAST,BR0046,2021-04-24
CUST000550,41-60,S,BR0025,2017-07-22
