transaction_id,customer_id,payment_channel,transaction_amount,transaction_status,transaction_timestamp
TXN0000050,CUST003913,Neft,1021.0,success,2026-01-14 17:50:44
TXN0000051,CUST005149,UPI,252.1,failed,06/06/2026 09:32:33
TXN0000052,CUST003816,neft,364.27,SUCCESS,28/03/2026 16:41:53
TXN0000053,CUST000621,UPI,1995.17,Success,2026-06-20 21:54:16
TXN0000054,CUST004324,UPI,986.83,Success,2026-03-22 14:40:01
TXN0000055,CUST005183,BILL PAY,747.32,success,2026-05-16 09:30:46
TXN0000056,CUST002759,BILL_PAY,2126.8,FAILED,04-01-2026 15:50
TXN0000057,CUST003422,Upi,286.44,SUCCESS,2026-04-29 20:00:58
TXN0000058,CUST004517,imps,448.90,SUCCESS,20-03-2026 11:13
TXN0000059,CUST000135,bill_pay,948.94,SUCCESS,10-02-2026 18:10
TXN0000060,CUST000644,IMPS,909.84,Success,2026-02-28 21:57:20
TXN0000061,CUST003451,imps,121.7,Success,03/25/2026 09:05 PM
TXN0000062,CUST001292,Bill_Pay,401.51,SUCCESS,2026-03-04 05:25:23
TXN0000063,CUST004650,neft,548.1,SUCCESS,2026-04-22 15:06:27
TXN0000064,CUST002733,imps,1080.16,SUCCESS,2026-07-10 08:19:01
TXN0000065,CUST004661,NEFT,-906.02,Timed_Out,2026-06-30 14:35:02
TXN0000066,CUST004173,IMPS,608.3,Success,2026-07-03 09:23:12
TXN0000067,CUST002952,bill_pay,66.52,success,11-07-2026 04:13
TXN0000068,CUST003334,NEFT,644.31,SUCCESS,27-03-2026 07:59
TXN0000069,CUST000860,upi,715.00,Success,11/04/2026 15:20:36
TXN0000070,CUST004047,BILL_PAY,12783.24,SUCCESS,2026-04-29 14:03:12
TXN0000071,CUST000723,BILL_PAY,528.04,SUCCESS,31-07-2026 15:02
TXN0000072,CUST002823,IMPS,955.14,Success,2026-06-13 09:19:36
TXN0000073,CUST002730,Upi,2621.2,SUCCESS,2026-05-14 02:11:23
TXN0000074,CUST002523,NEFT,1639.78,SUCCESS,2026-02-20 20:12:27
TXN0000075,CUST002793,Neft,3580.84,SUCCESS,18-05-2026 06:13
TXN0000076,CUST004601,NEFT,123.69,SUCCESS,2026-04-26 18:50:32
TXN0000077,CUST002983,imps,202.62,success,2026-03-08 00:40:53
TXN0000078,CUST002708,IMPS,337.12,success,2026-03-29 00:09:00
TXN0000079,CUST001169,BILL PAY,103.46,success,30-06-2026 04:21
TXN0000080,CUST004805,upi,722.18,SUCCESS,2026-04-28 13:51:31
TXN0000081,CUST003960,neft,220.67,FAILED,05/01/2026 17:15:17
TXN0000082,CUST000119,BILL_PAY,4272.36,Success,2026-06-11 17:22:40
TXN0000083,CUST000513,UPI,259.85,,30/05/2026 21:50:38
TXN0000084,CUST002032,IMPS,451.93,FAILED,2026-06-04 09:24:15
TXN0000085,CUST001940,BILL_PAY,1765.56,SUCCESS,2026-06-14 01:06:59
TXN0000086,CUST001041,neft,151.86,success,15-07-2026 15:16
TXN0000087,CUST004314,imps,96.64,SUCCESS,2026-07-09 08:09:58
TXN0000088,CUST002180,Bill_Pay,830.11,FAILED,2026-05-13 10:29:22
TXN0000089,CUST002409,BILL_PAY,908.56,SUCCESS,2026-05-28 01:27:25
TXN0000090,CUST000532,NEFT,"1,699.67",SUCCESS,05/05/2026 09:04 AM
TXN0000091,CUST002725,IMPS,1244.3,failed,11/01/2026 20:41:21
TXN0000092,CUST004891,neft,949.92,SUCCESS,18-04-2026 17:15
TXN0000093,CUST004290,IMPS,294.11,Success,2026-07-07 11:04:53
TXN0000094,CUST002477,BILL_PAY,878.93,FAILED,
TXN0000095,CUST002508,IMPS,945.47,success,13-03-2026 15:39
TXN0000096,CUST000799,Bill_Pay,282.25,SUCCESS,2026-06-17 05:58:55
TXN0000097,CUST004807,BILL_PAY,6241.21,SUCCESS,2026-07-02 23:29:15
TXN0000098,CUST004251,BILL_PAY,1174.5,SUCCESS,2026-07-10 06:00:53
TXN0000099,CUST003076,UPI,206.52,success,2026-04-28 10:10:22
TXN0000100,CUST000941,NEFT,1710.43,SUCCESS,06/02/2026 08:28 PM
TXN0000101,CUST000824,Upi,2113.4,success,03/22/2026 10:04 PM
TXN0000102,CUST004683,neft,1091.53,SUCCESS,09-02-2026 13:48
TXN0000103,CUST004090,BILL_PAY,495.48,SUCCESS,2026-01-05 02:56:18
TXN0000104,CUST004845,BILL_PAY,269.22,Success,2026-04-03 12:34:09
TXN0000105,CUST000047,UPI,606.36,FAILED,03-02-2026 02:30
TXN0000106,CUST004830,NEFT,1001.63,success,2026-05-10 12:51:40
TXN0000107,CUST004976,NEFT,675.60,success,26/03/2026 23:12:46
TXN0000108,CUST004402,BILL_PAY,3805.65,SUCCESS,2026-01-09 01:49:05
TXN0000109,CUST000079,imps,1409.23,success,2026-06-13 00:02:14
TXN0000110,CUST004805,BILL_PAY,237.80,SUCCESS,08-04-2026 20:34
TXN0000111,CUST005113,NEFT,184.0,FAILED,2026-04-20 06:51:48
TXN0000112,CUST001821,Neft,1186.74,timed_out,2026-02-07 16:03:14
TXN0000113,CUST003124,IMPS,508.69,SUCCESS,14-07-2026 23:05
TXN0000114,CUST001812,Bill_Pay,"1,566.82",FAILED,03/22/2026 06:13 PM
TXN0000115,CUST000772,UPI,1173.66,timed_out,05/24/2026 12:49 AM
TXN0000116,CUST001179,NEFT,609.48,SUCCESS,27-07-2026 12:57
TXN0000117,CUST000038,imps,240.77,success,28-07-2026 00:26
TXN0000118,CUST004320,NEFT,108.01,success,2026-04-02 13:45:00
TXN0000119,CUST002910,imps,859.98,failed,2026-05-03 17:49:36
TXN0000120,CUST001031,Neft,-149.17,success,06/14/2026 01:55 AM
TXN0000121,CUST004830,Upi,230.3,Success,2026-06-26 18:03:39
TXN0000122,CUST001000,NEFT,799.89,timed_out,2026-07-26 04:21:55
TXN0000123,CUST000427,upi,713.26,FAILED,13/06/2026 13:03:56
TXN0000124,CUST004567,UPI,168.75,Success,2026-03-30 14:15:12
TXN0000125,CUST003000,Neft,2439.78,SUCCESS,24-06-2026 16:26
TXN0000126,CUST001280,NEFT,2355.63,SUCCESS,28-03-2026 05:07
TXN0000127,CUST000399,UPI,"1,234.03",Failed,12/06/2026 12:33:52
TXN0000128,CUST001307,upi,1232.18,Failed,2026-04-20 18:00:03
TXN0000129,CUST004432,IMPS,-1234.05,Success,2026-01-26 12:20:07
TXN0000130,CUST004100,BILL PAY,67729.55,Success,2026-01-19 01:03:28
TXN0000131,CUST000183,BILL PAY,2089.76,Failed,2026-02-16 03:34:38
TXN0000132,CUST002253,UPI,1453.41,SUCCESS,2026-07-31 18:43:44
TXN0000133,CUST003486,NEFT,263.12,,04/26/2026 05:32 AM
TXN0000134,CUST002175,IMPS,500.61,Success,03-02-2026 12:18
TXN0000135,CUST000672,imps,10695.63,SUCCESS,2026-04-05 10:03:14
TXN0000136,CUST004521,imps,70.76,SUCCESS,2026-01-26 16:12:19
TXN0000137,CUST001160,Bill_Pay,377.54,SUCCESS,05/07/2026 07:56:14
TXN0000138,CUST002033,neft,2457.11,SUCCESS,2026-05-28 06:37:08
TXN0000139,CUST003328,UPI,,success,2026-06-14 13:12:33
TXN0000140,CUST003404,Imps,1503.45,SUCCESS,01/30/2026 12:25 AM
TXN0000141,CUST003665,,702.53,success,2026-06-15 18:12:27
TXN0000142,CUST002052,neft,304.32,SUCCESS,22-02-2026 03:04
TXN0000143,CUST000448,NEFT,58.55,SUCCESS,19/07/2026 15:52:10
TXN0000144,CUST001784,BILL_PAY,831.93,Success,07/22/2026 07:54 AM
TXN0000145,CUST000022,Neft,Rs.256.97,SUCCESS,2026-03-20 13:12:30
TXN0000146,CUST003367,upi,579.59,Timed_Out,08/04/2026 06:51:51
TXN0000147,CUST001559,imps,1219.24,success,10/07/2026 09:05:04
TXN0000148,CUST002307,NEFT,"1,879.77",success,2026-02-01 12:07:37
TXN0000149,CUST004431,NEFT,376.18,success,05/13/2026 06:21 AM
TXN0000150,CUST003376,BILL_PAY,303.69,success,2026-01-07 02:03:57
TXN0000151,CUST001038,UPI,146.49,TIMEDOUT,2026-02-05 19:58:43
TXN0000152,CUST003845,Bill_Pay,2001.06,SUCCESS,2026-02-26 13:20:06
TXN0000153,CUST002768,IMPS,"Rs.8,489.52",SUCCESS,2026-02-25 01:51:44
TXN0000154,CUST001576,IMPS,2296.08,SUCCESS,08-02-2026 14:50
TXN0000155,CUST002161,bill_pay,3042.07,Success,29/03/2026 06:30:47
TXN0000156,CUST003106,NEFT,284.52,Success,2026-01-10 15:48:27
TXN0000157,CUST000071,IMPS,1132.95,SUCCESS,13/05/2026 23:36:33
TXN0000158,CUST004305,neft,1685.07,SUCCESS,2026-05-24 10:33:59
TXN0000159,CUST005074,upi,13.61,Success,10/01/2026 16:43:23
TXN0000160,CUST003900,neft,194.56,Success,09-02-2026 13:06
TXN0000161,CUST000446,Bill_Pay,4716.84,SUCCESS,30-01-2026 08:56
TXN0000162,CUST000153,UPI,Rs.119.56,SUCCESS,23-04-2026 15:38
TXN0000163,CUST004293,Imps,3750.06,success,2026-01-26 02:11:46
TXN0000164,CUST000972,Imps,118.74,SUCCESS,2026-06-10 05:44:08
TXN0000165,CUST003308,upi,204.83,Success,21-06-2026 03:13
TXN0000166,CUST000198,Bill_Pay,1158.09,success,2026-02-14 02:16:15
TXN0000167,CUST002291,BILL_PAY,723.26,FAILED,2026-03-13 02:45:24
TXN0000168,CUST000935,bill_pay,418.9,success,2026-03-31 07:38:20
TXN0000169,CUST004332,Upi,"Rs.4,461.41",success,2026-07-17 13:13:52
TXN0000170,CUST001523,Upi,150.6,success,2026-01-04 08:40:13
TXN0000171,CUST003606,BILL_PAY,554.38,TIMED_OUT,24/02/2026 01:37:17
TXN0000172,CUST003090,upi,1347.47,failed,04/11/2026 08:13 AM
TXN0000173,CUST004055,,-931.87,Success,2026-02-11 10:42:31
TXN0000174,CUST004296,Upi,315.06,SUCCESS,17-04-2026 02:57
TXN0000175,CUST003470,UPI,327.92,Success,02/04/2026 13:14:31
TXN0000176,CUST001957,bill_pay,1843.69,success,2026-05-08 17:12:46
TXN0000177,CUST001879,UPI,1957.69,SUCCESS,2026-06-30 11:53:10
TXN0000178,CUST003605,Imps,961.75,Success,26-04-2026 01:59
TXN0000179,CUST004142,BILL_PAY,245.97,success,02/26/2026 04:01 PM
TXN0000180,CUST004474,IMPS,339.6,Success,17-03-2026 22:12
TXN0000181,CUST002396,UPI,648.67,success,04/27/2026 01:05 AM
TXN0000182,CUST001697,IMPS,765.7,SUCCESS,2026-05-04 02:19:25
TXN0000183,CUST000475,UPI,1282.44,success,18-04-2026 07:30
TXN0000184,CUST004240,imps,521.84,,28/07/2026 08:45:27
TXN0000185,CUST001024,UPI,"Rs.1,790.95",success,31-03-2026 19:27
TXN0000186,CUST001433,Neft,1765.54,failed,2026-05-20 11:40:47
TXN0000187,CUST004116,NEFT,3186.17,SUCCESS,18-02-2026 12:46
TXN0000188,CUST004003,Upi,682.12,FAILED,18-01-2026 18:56
TXN0000189,CUST003335,NEFT,981.42,TIMED_OUT,14-05-2026 03:45
TXN0000190,CUST000241,IMPS,568.97,Success,05-07-2026 02:15
TXN0000191,CUST004055,neft,249.17,SUCCESS,2026-03-10 02:16:04
TXN0000192,CUST001780,Bill_Pay,8191.6,SUCCESS,2026-04-22 14:55:17
TXN0000193,CUST002392,upi,2669.73,Success,10-05-2026 04:36
TXN0000194,CUST000267,,"1,719.85",success,29-07-2026 12:49
TXN0000195,CUST003630,NEFT,655.44,Success,29-05-2026 07:26
TXN0000196,CUST002213,Neft,-226.62,SUCCESS,26-01-2026 07:49
TXN0000197,CUST004177,BILL_PAY,2143.39,success,2026-06-25 03:58:37
TXN0000198,CUST003735,Neft,557.54,Success,2026-03-14 16:02:51
TXN0000199,CUST003863,UPI,1091.73,SUCCESS,2026-03-08 11:16:33
TXN0000200,CUST003865,neft,338.16,SUCCESS,21-06-2026 21:42
TXN0000201,CUST004719,NEFT,,SUCCESS,25-03-2026 19:56
TXN0000202,CUST002282,Upi,362.01,success,29/06/2026 20:01:58
TXN0000203,CUST002548,upi,377.95,SUCCESS,2026-07-30 02:10:03
TXN0000204,CUST001795,BILL PAY,-878.71,TIMEDOUT,2026-01-12 05:48:29
TXN0000205,CUST002531,IMPS,117.01,SUCCESS,14/06/2026 20:14:30
TXN0000206,CUST005026,Bill_Pay,,FAILED,2026-03-26 12:11:01
TXN0000207,CUST004685,BILL_PAY,280.86,SUCCESS,2026-07-09 00:38:14
TXN0000208,CUST002309,Imps,514.84,SUCCESS,06-04-2026 15:43
TXN0000209,CUST002640,BILL PAY,1861.6,SUCCESS,15-01-2026 14:35
TXN0000210,CUST004465,Upi,548.99,SUCCESS,16-03-2026 18:30
TXN0000211,CUST000386,IMPS,650.53,SUCCESS,2026-03-05 04:36:10
TXN0000212,CUST000724,Imps,470.41,success,25-07-2026 19:43
TXN0000213,CUST002191,Neft,979.72,SUCCESS,03/06/2026 05:05:17
TXN0000214,CUST001559,neft,246.49,SUCCESS,2026-02-18 20:07:58
TXN0000215,CUST001024,UPI,583.76,SUCCESS,07/03/2026 03:41:09
TXN0000216,CUST001862,upi,,Failed,19-03-2026 21:55
TXN0000217,CUST002003,UPI,870.36,Success,2026-05-29 21:59:17
TXN0000218,CUST005048,Bill_Pay,675.27,SUCCESS,2026-03-24 15:54:48
TXN0000219,CUST001340,NEFT,685.0,SUCCESS,2026-02-16 19:23:18
TXN0000220,CUST000836,Bill_Pay,1209.06,success,2026-07-18 10:06:33
TXN0000221,CUST004907,Upi,8811.55,Success,26-03-2026 06:53
TXN0000222,CUST005118,upi,264.86,FAILED,2026-01-09 20:13:35
TXN0000223,CUST004440,Imps,9207.41,success,12-04-2026 23:59
TXN0000224,CUST000148,imps,252.15,success,03-02-2026 10:42
TXN0000225,CUST000541,upi,52.0,Success,01/01/2026 11:33:43
TXN0000226,CUST000840,UPI,353.93,,14-02-2026 04:59
TXN0000227,CUST003472,neft,1002.35,success,2026-07-03 04:55:50
TXN0000228,CUST003930,bill_pay,6319.56,success,2026-07-15 13:27:25
TXN0000229,CUST004474,Imps,226.31,FAILED,03-07-2026 17:26
TXN0000230,CUST003864,Bill_Pay,1200.27,success,11-06-2026 09:56
TXN0000231,CUST003710,Neft,136.42,FAILED,2026-03-03 06:43:45
TXN0000232,CUST004710,UPI,5989.42,FAILED,2026-06-25 18:28:15
TXN0000233,CUST004559,NEFT,2738.95,,2026-07-09 12:23:22
TXN0000234,CUST003178,NEFT,378.79,success,2026-06-16 09:34:02
TXN0000235,CUST004090,Imps,85.14,TIMEDOUT,09/02/2026 10:06:41
TXN0000236,CUST002120,neft,3376.68,SUCCESS,26/03/2026 04:56:38
TXN0000237,CUST003014,BILL_PAY,579.72,success,24/07/2026 21:50:30
TXN0000238,CUST001204,NEFT,2937.69,SUCCESS,2026-03-02 14:01:19
TXN0000239,CUST001584,UPI,669.34,Success,2026-05-17 01:28:10
TXN0000240,CUST004816,Neft,703.72,failed,18/03/2026 23:30:52
TXN0000241,CUST004973,UPI,387.58,SUCCESS,27/06/2026 07:10:31
TXN0000242,CUST000597,upi,1404.48,success,2026-04-24 12:15:06
TXN0000243,CUST000571,Imps,768.43,success,23-06-2026 06:28
TXN0000244,CUST003174,BILL PAY,"1,233.15",success,15-07-2026 21:22
TXN0000245,CUST001927,UPI,105.54,Success,18-03-2026 10:42
TXN0000246,CUST000224,BILL_PAY,3081.62,SUCCESS,17-02-2026 02:24
TXN0000247,CUST000670,BILL_PAY,4278.61,SUCCESS,18-03-2026 02:03
TXN0000248,CUST000391,UPI,764.18,success,2026-05-11 04:13:14
TXN0000249,CUST001883,IMPS,7886.42,failed,2026-03-18 12:30:21
TXN0000250,CUST000356,BILL_PAY,5466.58,SUCCESS,2026-03-25 03:34:05
TXN0000251,CUST004856,upi,,success,
TXN0000252,CUST002904,neft,3437.01,success,2026-03-25 07:56:37
TXN0000253,CUST002236,UPI,2368.73,,20/04/2026 08:34:17
TXN0000254,CUST001972,Imps,80.6,SUCCESS,2026-06-25 12:26:34
TXN0000255,CUST005011,BILL_PAY,481.41,SUCCESS,2026-02-06 05:06:49
TXN0000256,CUST001771,BILL PAY,1573.49,success,04-01-2026 03:30
TXN0000257,CUST003079,upi,4695.4,FAILED,2026-01-16 14:43:27
TXN0000258,CUST000776,NEFT,126.96,Failed,2026-04-24 14:44:38
TXN0000259,CUST001435,,86.14,success,2026-03-16 00:42:24
TXN0000260,CUST001562,UPI,622.25,TIMED_OUT,19-01-2026 17:03
TXN0000261,CUST003744,IMPS,55.65,SUCCESS,2026-03-09 22:46:56
TXN0000262,CUST002011,upi,597.68,Success,2026-07-02 01:25:11
TXN0000263,CUST005015,bill_pay,1032.69,success,2026-06-07 10:11:14
TXN0000264,CUST002377,BILL_PAY,215.32,SUCCESS,07-03-2026 02:11
TXN0000265,CUST002979,Bill_Pay,616.95,Success,27-06-2026 18:37
TXN0000266,CUST001671,imps,2092.62,SUCCESS,17-05-2026 07:10
TXN0000267,CUST002962,bill_pay,352.02,Success,2026-07-09 03:04:04
TXN0000268,CUST002615,Bill_Pay,256.87,Success,2026-03-20 07:21:18
TXN0000269,CUST000232,NEFT,584.97,Success,29/05/2026 20:47:29
TXN0000270,CUST005162,neft,192.04,SUCCESS,2026-06-13 15:23:12
TXN0000271,CUST001375,Upi,7028.09,SUCCESS,2026-04-12 03:51:32
TXN0000272,CUST003777,IMPS,693.89,SUCCESS,08-05-2026 01:57
TXN0000273,CUST002019,upi,287.24,,17/02/2026 02:58:45
TXN0000274,CUST000269,Bill_Pay,859.87,Failed,21-01-2026 17:12
TXN0000275,CUST002317,neft,581.26,SUCCESS,2026-01-29 20:03:23
TXN0000276,CUST000397,neft,510.22,Success,24-03-2026 01:49
TXN0000277,CUST001111,NEFT,351.92,SUCCESS,2026-05-20 04:27:31
TXN0000278,CUST000083,upi,333.29,Success,2026-07-12 12:53:59
TXN0000279,CUST001869,IMPS,107.96,SUCCESS,2026-02-22 19:20:12
TXN0000280,CUST001364,imps,3429.77,SUCCESS,2026-05-17 10:28:02
TXN0000281,CUST005160,bill_pay,1328.58,Success,2026-06-27 00:31:10
TXN0000282,CUST003216,Neft,966.32,SUCCESS,
TXN0000283,CUST000629,BILL_PAY,570.49,SUCCESS,2026-03-17 23:49:00
TXN0000284,CUST000199,Neft,211.32,success,2026-01-09 23:24:46
TXN0000285,CUST004695,NEFT,268.37,Success,2026-01-12 04:51:25
TXN0000286,CUST001290,IMPS,120.7,SUCCESS,2026-05-19 17:45:56
TXN0000287,CUST004446,UPI,306.16,Success,2026-01-08 11:12:43
TXN0000288,CUST004869,BILL_PAY,Rs.181.66,FAILED,25-04-2026 09:16
TXN0000289,CUST001088,UPI,"5,037.02",SUCCESS,2026-06-29 15:53:53
TXN0000290,CUST002354,IMPS,1915.95,SUCCESS,2026-03-07 09:06:25
TXN0000291,CUST002087,Upi,729.85,SUCCESS,29-01-2026 20:39
TXN0000292,CUST004118,NEFT,236.62,Success,01/03/2026 04:11 AM
TXN0000293,CUST000540,BILL_PAY,191.58,SUCCESS,02/08/2026 11:09 AM
TXN0000294,CUST004862,NEFT,529.32,success,2026-06-04 07:02:34
TXN0000295,CUST002176,IMPS,2021.13,SUCCESS,2026-06-03 14:45:55
TXN0000296,CUST000384,IMPS,6576.78,timed_out,22-05-2026 08:15
TXN0000297,CUST000665,Neft,124.18,Success,2026-01-01 09:43:53
TXN0000298,CUST002826,IMPS,1307.1,SUCCESS,01-07-2026 00:31
TXN0000299,CUST003695,NEFT,304.67,SUCCESS,18-05-2026 14:18
TXN0000300,CUST000853,Bill_Pay,370.72,Success,29-07-2026 20:27
TXN0000301,CUST004692,imps,705.02,SUCCESS,2026-02-26 18:18:59
TXN0000302,CUST001419,IMPS,245.39,Timed_Out,21-05-2026 03:40
TXN0000303,CUST000250,BILL_PAY,499.33,TIMED_OUT,2026-02-06 08:01:20
TXN0000304,CUST004220,IMPS,223.84,FAILED,22-07-2026 17:04
TXN0000305,CUST001205,IMPS,332.91,SUCCESS,2026-04-29 17:48:38
TXN0000306,CUST003575,BILL PAY,"1,646.60",SUCCESS,2026-07-11 03:21:38
TXN0000307,CUST002140,upi,749.34,SUCCESS,03/06/2026 01:25 PM
TXN0000308,CUST001761,Imps,,success,04/08/2026 11:54 PM
TXN0000309,CUST000464,NEFT,300.32,Success,26-06-2026 04:41
TXN0000310,CUST002051,BILL PAY,1319.12,success,2026-04-05 13:39:25
TXN0000311,CUST003717,neft,94.34,Success,20-01-2026 08:32
TXN0000312,CUST005174,IMPS,-704.65,success,2026-03-07 13:14:49
TXN0000313,CUST001949,IMPS,1431.26,SUCCESS,2026-01-14 18:24:04
TXN0000314,CUST001562,UPI,90.57,SUCCESS,04-05-2026 20:19
TXN0000315,CUST001098,,304.23,success,2026-06-27 09:19:15
TXN0000316,CUST001181,NEFT,704.07,SUCCESS,2026-01-20 08:56:24
TXN0000317,CUST000301,IMPS,2225.09,success,2026-06-28 07:33:31
TXN0000318,CUST003808,upi,332.86,success,04/07/2026 11:53 PM
TXN0000319,CUST005029,UPI,1256.1,SUCCESS,2026-03-07 06:37:33
TXN0000320,CUST000945,Upi,3751.39,Success,19-04-2026 18:17
TXN0000321,CUST002872,IMPS,1329.4,success,11-02-2026 09:11
TXN0000322,CUST001158,NEFT,521.31,Timed_Out,2026-04-08 13:29:12
TXN0000323,CUST001243,IMPS,1038.34,failed,14-07-2026 17:59
TXN0000324,CUST001767,UPI,322.21,success,2026-02-08 01:19:19
TXN0000325,CUST002097,Neft,737.97,success,2026-06-06 07:25:19
TXN0000326,CUST001692,upi,551.8,Success,2026-07-31 01:33:18
TXN0000327,CUST004588,imps,Rs.997.37,success,2026-06-30 03:41:07
TXN0000328,CUST003567,BILL_PAY,405.75,Success,2026-05-20 20:16:49
TXN0000329,CUST004213,imps,1067.79,SUCCESS,2026-07-03 17:31:09
TXN0000330,CUST003330,Neft,401.34,SUCCESS,2026-07-30 07:14:48
TXN0000331,CUST001486,,1891.92,Success,2026-03-20 06:30:16
TXN0000332,CUST002325,NEFT,449.79,Success,2026-01-06 12:09:14
TXN0000333,CUST002155,UPI,57.64,success,2026-02-08 23:22:42
TXN0000334,CUST003197,IMPS,198.4,success,2026-04-18 08:50:31
TXN0000335,CUST004651,UPI,680.01,SUCCESS,06/07/2026 19:35:37
TXN0000336,CUST003811,IMPS,4972.73,FAILED,2026-05-04 06:28:53
TXN0000337,CUST002075,Neft,1799.54,FAILED,18/01/2026 11:40:45
TXN0000338,CUST004334,BILL PAY,46.84,success,26-03-2026 08:16
TXN0000339,CUST000738,BILL_PAY,-112.81,success,22-03-2026 10:16
TXN0000340,CUST005121,Bill_Pay,2624.13,SUCCESS,05/08/2026 02:46 PM
TXN0000341,CUST002422,Neft,1421.32,FAILED,2026-03-04 23:31:09
TXN0000342,CUST000220,Imps,10145.97,success,25-02-2026 23:07
TXN0000343,CUST002781,bill_pay,383.28,success,21-04-2026 13:09
TXN0000344,CUST000842,UPI,239.89,Success,15-04-2026 03:25
TXN0000345,CUST003005,Upi,724.79,Success,
TXN0000346,CUST003018,BILL_PAY,374.96,Failed,2026-02-25 15:29:11
TXN0000347,CUST000731,Imps,2310.1,SUCCESS,2026-02-21 01:23:42
TXN0000348,CUST005116,NEFT,360.68,SUCCESS,2026-04-11 15:58:51
TXN0000349,CUST005008,neft,481.14,SUCCESS,2026-06-09 15:14:57
TXN0000350,CUST005109,Imps,205.51,,2026-07-14 03:01:59
TXN0000351,CUST002983,BILL_PAY,1649.76,success,2026-02-16 18:46:16
TXN0000352,CUST000242,NEFT,219.95,SUCCESS,22/04/2026 14:26:59
TXN0000353,CUST004650,Neft,1092.39,success,2026-01-09 00:23:17
