event_id,customer_id,channel_type,action_performed,event_timestamp
EVT0000106,CUST004593,mobile_app,initiate_transfer,06-05-2026 07:37
EVT0000107,CUST001859,net_banking, LOGOUT,2026-01-15 02:57:33
EVT0000108,CUST001775,,login,2026-05-09 21:32:48
EVT0000109,CUST001734,Net_Banking,INITIATE_TRANSFER,06/16/2026 10:05 PM
EVT0000110,CUST004978,NET_BANKING,VIEW_BALANCE,
EVT0000111,CUST001567,MOBILE_APP,Login,19-05-2026 13:29
EVT0000112,CUST003018,Mobile_App,LOGOUT,2026-05-12 07:03:25
EVT0000113,CUST003106,MOBILE_APP,login,2026-03-21 11:14:35
EVT0000114,CUST002039,Mobile_App,view_balance,2026-04-22 10:31:13
EVT0000115,CUST005099,mobile_app,login,01/05/2026 23:51:18
EVT0000116,CUST000989,MOBILE_APP,initiate_transfer,2026-03-11 00:37:52
EVT0000117,CUST001922,NET_BANKING,INITIATE_TRANSFER,2026-04-10 23:21:53
EVT0000118,CUST002970,NET BANKING,LOGOUT,2026-02-11 15:44:02
EVT0000119,CUST000611,Mobile_App,logout,19/02/2026 18:19:39
EVT0000120,CUST001650,NET_BANKING,View_Balance,2026-04-11 03:30:56
EVT0000121,CUST000630,net_banking,VIEW_BALANCE,17-04-2026 21:16
EVT0000122,CUST003701,NET_BANKING,LOGOUT,2026-04-26 01:03:29
EVT0000123,CUST001548,NET_BANKING,view_balance,2026-04-17 22:09:04
EVT0000124,CUST000910,MOBILE_APP,initiate_transfer,2026-02-25 03:08:15
EVT0000125,CUST004184,MOBILE APP,LOGOUT,13-05-2026 04:25
EVT0000126,CUST000018,NET_BANKING,VIEW_BALANCE,2026-01-25 00:21:25
EVT0000127,CUST002050,net_banking,view_balance,2026-06-21 15:33:13
EVT0000128,CUST001751,NET_BANKING,LOGOUT,2026-06-28 05:07:50
EVT0000129,CUST000967,MOBILE_APP,View_Balance,16/03/2026 02:27:23
EVT0000130,CUST002127,mobile_app,VIEW_BALANCE,2026-06-11 19:41:10
EVT0000131,CUST003129,Mobile_App,Logout,30/06/2026 12:07:31
EVT0000132,CUST004448,MOBILE_APP, LOGOUT,03-03-2026 13:01
EVT0000133,CUST001272,Net_Banking,View_Balance,2026-06-07 15:37:07
EVT0000134,CUST004850,MOBILE APP,LOGOUT,26/02/2026 07:12:24
EVT0000135,CUST001210,MOBILE APP,View_Balance,15-07-2026 01:44
EVT0000136,CUST002908,Net_Banking,LOGIN,2026-07-30 16:21:21
EVT0000137,CUST003159,NET BANKING,INITIATE_TRANSFER,10-03-2026 13:52
EVT0000138,CUST002640,NET BANKING,view_balance,16-05-2026 00:02
EVT0000139,CUST000997,NET_BANKING,view_balance,2026-06-22 23:38:23
EVT0000140,CUST000978,Net_Banking,Login,01-01-2026 17:59
EVT0000141,CUST000722,NET_BANKING,View_Balance,21-02-2026 20:42
EVT0000142,CUST002150,mobile_app,Login,02/05/2026 12:59 PM
EVT0000143,CUST004980,NET_BANKING,Logout,30/04/2026 17:42:35
EVT0000144,CUST003472,mobile_app,view_balance,2026-06-28 03:31:58
EVT0000145,CUST003713,MOBILE_APP, LOGOUT,2026-02-23 07:44:02
EVT0000146,CUST003016,MOBILE_APP, LOGOUT,02-02-2026 05:16
EVT0000147,CUST003544,Mobile_App,INITIATE_TRANSFER,16-07-2026 16:13
EVT0000148,CUST002976,MOBILE APP,Initiate_Transfer,07-03-2026 19:51
EVT0000149,CUST003954,MOBILE_APP,Initiate_Transfer,05/05/2026 03:29:04
EVT0000150,CUST001115,MOBILE_APP,LOGOUT,2026-02-12 23:11:59
EVT0000151,CUST004614,net_banking,INITIATE_TRANSFER,16-06-2026 09:30
EVT0000152,CUST000420,MOBILE_APP,Initiate_Transfer,05-07-2026 05:55
EVT0000153,CUST004878,NET_BANKING,LOGOUT,16-05-2026 02:58
EVT0000154,CUST003873,NET BANKING,view_balance,2026-07-10 20:00:04
EVT0000155,CUST001742,net_banking,LOGOUT,2026-07-18 14:13:05
EVT0000156,CUST003739,NET BANKING,Login,2026-01-26 22:09:16
EVT0000157,CUST002720,NET_BANKING,logout,2026-06-23 06:07:12
EVT0000158,CUST003419,MOBILE_APP,,26/05/2026 02:59:23
EVT0000159,CUST004563,MOBILE APP,View_Balance,03-02-2026 13:26
EVT0000160,CUST004635,Net_Banking,LOGIN ,2026-06-15 22:10:28
EVT0000161,CUST002113,mobile_app,LOGIN,30-03-2026 20:03
EVT0000162,CUST000872,Mobile_App,Initiate_Transfer,12-04-2026 01:26
EVT0000163,CUST003599,MOBILE_APP,LOGIN,12/01/2026 16:20:45
EVT0000164,CUST001871,NET_BANKING, LOGOUT,2026-02-17 22:02:46
EVT0000165,CUST001681,Net_Banking,LOGIN ,12-01-2026 07:43
EVT0000166,CUST000615,mobile_app,logout,05-01-2026 16:48
EVT0000167,CUST000505,NET_BANKING,INITIATE_TRANSFER,2026-04-23 12:48:06
EVT0000168,CUST004427,MOBILE_APP,INITIATE_TRANSFER,07-02-2026 18:29
EVT0000169,CUST000334,NET BANKING,VIEW_BALANCE,2026-02-09 07:46:46
EVT0000170,CUST002383,NET_BANKING,INITIATE_TRANSFER,2026-02-01 03:58:58
EVT0000171,CUST000647,NET BANKING,LOGIN,21/02/2026 17:55:48
EVT0000172,CUST004420,Mobile_App,view_balance,21/03/2026 11:29:18
EVT0000173,CUST005050,NET BANKING,LOGOUT,06/08/2026 10:37 PM
EVT0000174,CUST002199,net_banking,initiate_transfer,25/03/2026 14:01:59
EVT0000175,CUST004028,Net_Banking,VIEW_BALANCE,09/04/2026 05:09:08
EVT0000176,CUST004980,NET BANKING, LOGOUT,26/06/2026 12:54:42
EVT0000177,CUST002052,MOBILE_APP,VIEW_BALANCE,2026-07-04 04:44:32
EVT0000178,CUST002537,Net_Banking,LOGIN,06/01/2026 02:02:22
EVT0000179,CUST004159,mobile_app,LOGIN,2026-07-29 14:12:07
EVT0000180,CUST001795,NET BANKING,LOGIN,2026-01-02 06:27:40
EVT0000181,CUST002271,Net_Banking,VIEW_BALANCE,2026-07-02 11:57:54
EVT0000182,CUST000527,NET_BANKING,LOGIN,21-05-2026 16:33
EVT0000183,CUST001081,Net_Banking,VIEW_BALANCE,2026-05-19 12:41:54
EVT0000184,CUST001415,,logout,2026-02-11 11:33:08
EVT0000185,CUST003648,MOBILE_APP,Initiate_Transfer,16-06-2026 20:18
EVT0000186,CUST001556,Mobile_App,Initiate_Transfer,28-01-2026 21:41
EVT0000187,CUST004033,MOBILE_APP,LOGIN ,2026-01-16 20:04:19
EVT0000188,CUST003698,MOBILE_APP,View_Balance,17-03-2026 00:44
EVT0000189,CUST002609,MOBILE_APP,INITIATE_TRANSFER,15-05-2026 17:49
EVT0000190,CUST004708,NET_BANKING,Logout,17/06/2026 14:37:31
EVT0000191,CUST001863,NET BANKING,LOGIN,2026-07-16 01:45:32
EVT0000192,CUST000385,net_banking,Login,22/05/2026 03:53:20
EVT0000193,CUST005191,NET_BANKING,INITIATE_TRANSFER,2026-07-01 22:34:54
EVT0000194,CUST003330,NET_BANKING,Initiate_Transfer,2026-05-29 09:22:38
EVT0000195,CUST003981,MOBILE_APP,LOGOUT,12/07/2026 10:11:25
EVT0000196,CUST000234,net_banking,VIEW_BALANCE,2026-06-19 06:34:14
EVT0000197,CUST003163,mobile_app,VIEW_BALANCE,2026-04-14 03:03:43
EVT0000198,CUST002386,net_banking, LOGOUT,05/09/2026 08:42 PM
EVT0000199,CUST004985,MOBILE_APP,LOGIN,13/01/2026 06:10:57
EVT0000200,CUST000778,NET BANKING,View_Balance,26-07-2026 14:31
EVT0000201,CUST002868,Mobile_App,View_Balance,01-05-2026 02:12
EVT0000202,CUST002386,mobile_app,login,31-05-2026 03:15
EVT0000203,CUST000781,NET_BANKING,VIEW_BALANCE,2026-01-07 03:54:50
EVT0000204,CUST003611,NET_BANKING,login,2026-06-03 06:27:29
EVT0000205,CUST004102,MOBILE APP, LOGOUT,21-02-2026 04:10
EVT0000206,CUST000793,NET_BANKING,login,2026-04-17 23:55:19
EVT0000207,CUST002700,MOBILE_APP,logout,28/05/2026 06:41:39
EVT0000208,CUST003208,NET_BANKING,initiate_transfer,04-02-2026 16:34
EVT0000209,CUST000368,NET BANKING,INITIATE_TRANSFER,2026-06-01 00:36:40
EVT0000210,CUST004067,MOBILE_APP,LOGIN ,2026-05-05 07:52:40
EVT0000211,CUST001005,net_banking, LOGOUT,2026-07-04 07:17:16
EVT0000212,CUST000555,Net_Banking,Initiate_Transfer,2026-04-06 17:04:11
EVT0000213,CUST004538,MOBILE APP,View_Balance,2026-02-04 23:24:21
EVT0000214,CUST002488,mobile_app,initiate_transfer,2026-05-10 08:46:07
EVT0000215,CUST004935,MOBILE_APP,LOGIN ,2026-05-28 12:49:01
EVT0000216,CUST002300,net_banking,LOGIN,26-01-2026 06:36
EVT0000217,CUST000558,NET_BANKING,VIEW_BALANCE,2026-07-30 11:27:58
EVT0000218,CUST003506,NET_BANKING,LOGIN,06-07-2026 06:01
EVT0000219,CUST001862,Net_Banking,view_balance,2026-03-10 15:55:42
EVT0000220,CUST003172,MOBILE APP,LOGIN,08/05/2026 07:58:25
EVT0000221,CUST001275,MOBILE APP,view_balance,18-01-2026 12:30
EVT0000222,CUST001925,MOBILE APP,initiate_transfer,2026-06-29 06:37:30
EVT0000223,CUST005165,NET_BANKING,Initiate_Transfer,2026-07-05 22:22:20
EVT0000224,CUST004990,NET_BANKING,Logout,2026-01-31 22:02:58
EVT0000225,CUST000192,Net_Banking,View_Balance,10/04/2026 06:38:53
EVT0000226,CUST002795,Mobile_App,view_balance,2026-02-27 10:33:13
EVT0000227,CUST003533,MOBILE_APP,,2026-06-16 01:11:42
EVT0000228,CUST001862,MOBILE_APP,view_balance,22-03-2026 05:58
EVT0000229,CUST003445,NET BANKING,VIEW_BALANCE,24-05-2026 20:40
EVT0000230,CUST001244,MOBILE_APP,LOGIN ,2026-01-19 23:07:54
EVT0000231,CUST001748,MOBILE_APP,LOGIN,02-02-2026 00:33
EVT0000232,CUST003464,,view_balance,16-07-2026 16:35
EVT0000233,CUST002179,MOBILE_APP,LOGOUT,07/04/2026 08:52:52
EVT0000234,CUST004597,Mobile_App,logout,2026-06-19 04:25:56
EVT0000235,CUST004559,NET BANKING,Initiate_Transfer,2026-04-17 04:03:34
EVT0000236,CUST002822,Net_Banking,LOGIN ,2026-07-03 05:28:44
EVT0000237,CUST000332,Net_Banking,VIEW_BALANCE,13-04-2026 09:03
EVT0000238,CUST000743,net_banking,view_balance,2026-02-11 20:26:15
EVT0000239,CUST002926,net_banking,Login,06/04/2026 17:15:35
EVT0000240,CUST002066,Net_Banking,logout,15-03-2026 02:53
EVT0000241,CUST003413,MOBILE_APP,LOGOUT,2026-01-28 07:49:51
EVT0000242,CUST004859,net_banking,Initiate_Transfer,2026-06-01 01:37:25
EVT0000243,CUST004795,MOBILE APP,initiate_transfer,2026-07-07 17:33:47
EVT0000244,CUST002104,MOBILE_APP,View_Balance,2026-06-12 06:07:29
EVT0000245,CUST004269,Net_Banking,INITIATE_TRANSFER,2026-04-27 20:33:05
EVT0000246,CUST002223,NET BANKING,LOGOUT,2026-07-12 12:39:59
EVT0000247,CUST002591,net_banking,view_balance,18-06-2026 09:44
EVT0000248,CUST000298,NET_BANKING,LOGIN,2026-01-14 14:32:45
EVT0000249,CUST003585,NET_BANKING,LOGIN ,2026-06-27 06:47:56
EVT0000250,CUST000244,MOBILE_APP,INITIATE_TRANSFER,02-07-2026 12:02
EVT0000251,CUST003989,NET BANKING,VIEW_BALANCE,2026-07-16 17:34:56
EVT0000252,CUST000166,mobile_app,LOGIN,22/07/2026 05:28:38
EVT0000253,CUST001247,NET_BANKING,VIEW_BALANCE,22/07/2026 00:25:44
EVT0000254,CUST002757,net_banking,initiate_transfer,2026-01-13 10:09:14
EVT0000255,CUST000152,MOBILE_APP, LOGOUT,2026-03-05 23:11:11
EVT0000256,CUST000379,MOBILE APP,initiate_transfer,20-06-2026 19:26
EVT0000257,CUST000611,mobile_app,INITIATE_TRANSFER,12-02-2026 17:13
EVT0000258,CUST004411,mobile_app,View_Balance,2026-04-13 04:41:05
EVT0000259,CUST000856,NET BANKING,Initiate_Transfer,31/03/2026 16:03:09
EVT0000260,CUST003776,Mobile_App,LOGOUT,26-06-2026 19:49
EVT0000261,CUST004916,mobile_app,VIEW_BALANCE,2026-07-19 03:18:58
EVT0000262,CUST000881,Net_Banking,VIEW_BALANCE,2026-06-25 10:54:40
EVT0000263,CUST000166,NET_BANKING,initiate_transfer,2026-06-03 07:48:01
EVT0000264,CUST003014,mobile_app,logout,05/12/2026 06:24 PM
EVT0000265,CUST004105,NET_BANKING,INITIATE_TRANSFER,01/02/2026 11:11 AM
EVT0000266,CUST004890,NET BANKING,initiate_transfer,2026-01-02 18:32:42
EVT0000267,CUST003423,net_banking,view_balance,2026-03-17 14:35:18
EVT0000268,CUST004047,MOBILE APP,VIEW_BALANCE,07/18/2026 04:01 PM
EVT0000269,CUST001994,MOBILE_APP,view_balance,2026-04-19 22:13:05
EVT0000270,CUST000670,NET_BANKING,Logout,2026-07-07 02:41:45
EVT0000271,CUST002634,NET_BANKING,VIEW_BALANCE,2026-05-08 17:56:20
EVT0000272,CUST003129,NET BANKING,INITIATE_TRANSFER,26-05-2026 09:00
EVT0000273,CUST002350,MOBILE_APP,VIEW_BALANCE,27-03-2026 18:44
EVT0000274,CUST000771,NET_BANKING,INITIATE_TRANSFER,2026-07-19 12:28:11
EVT0000275,CUST003779,Mobile_App,INITIATE_TRANSFER,06-06-2026 12:35
EVT0000276,CUST004028,MOBILE APP,INITIATE_TRANSFER,03/05/2026 06:29:42
EVT0000277,CUST001238,mobile_app,INITIATE_TRANSFER,2026-01-03 03:15:25
EVT0000278,CUST002205,NET_BANKING,LOGIN,2026-03-16 01:56:09
EVT0000279,CUST000139,mobile_app,LOGIN ,04/18/2026 08:54 PM
EVT0000280,CUST001891,Net_Banking, LOGOUT,2026-01-03 20:38:15
EVT0000281,CUST004344,MOBILE_APP,Initiate_Transfer,2026-02-17 01:16:17
EVT0000282,CUST000828,MOBILE APP,LOGOUT,
EVT0000283,CUST003131,NET_BANKING,LOGIN,2026-03-12 13:12:16
EVT0000284,CUST001353,NET_BANKING,VIEW_BALANCE,03-03-2026 09:21
EVT0000285,CUST000992,MOBILE APP,View_Balance,17/07/2026 00:11:41
EVT0000286,CUST001529,NET_BANKING,VIEW_BALANCE,15-04-2026 09:15
EVT0000287,CUST000695,NET_BANKING,LOGIN ,2026-05-12 20:00:32
EVT0000288,CUST000753,Mobile_App,INITIATE_TRANSFER,2026-07-29 19:06:05
EVT0000289,CUST002022,NET_BANKING,INITIATE_TRANSFER,07/01/2026 09:05 PM
EVT0000290,CUST000711,net_banking,LOGIN ,2026-02-09 19:44:01
EVT0000291,CUST001713,mobile_app,LOGIN,
EVT0000292,CUST002472,MOBILE_APP,initiate_transfer,12-01-2026 12:43
EVT0000293,CUST001544,mobile_app,INITIATE_TRANSFER,21-03-2026 10:47
EVT0000294,CUST001035,Mobile_App,logout,06/02/2026 17:34:57
EVT0000295,CUST000588,mobile_app,Initiate_Transfer,2026-02-07 15:21:57
EVT0000296,CUST004723,NET_BANKING,VIEW_BALANCE,2026-03-06 02:38:14
EVT0000297,CUST003725,mobile_app,login,2026-07-17 21:32:47
EVT0000298,CUST003580,MOBILE APP,LOGIN,2026-02-24 18:00:55
EVT0000299,CUST000370,NET_BANKING,login,21-07-2026 21:34
EVT0000300,CUST000498,Mobile_App,VIEW_BALANCE,2026-07-29 23:39:01
EVT0000301,CUST000147,NET_BANKING,view_balance,20/04/2026 23:38:00
EVT0000302,CUST002798,Net_Banking,LOGOUT,26-02-2026 12:56
EVT0000303,CUST004616,Mobile_App,View_Balance,2026-05-20 13:16:20
EVT0000304,CUST001708,MOBILE APP, LOGOUT,18-07-2026 00:26
EVT0000305,CUST000413,MOBILE_APP,VIEW_BALANCE,2026-06-05 09:09:49
EVT0000306,CUST000080,Mobile_App,Initiate_Transfer,2026-05-22 14:18:05
EVT0000307,CUST002106,MOBILE APP,Login,26-04-2026 05:02
EVT0000308,CUST002465,MOBILE_APP,Initiate_Transfer,2026-02-03 17:37:38
EVT0000309,CUST000593,mobile_app,Initiate_Transfer,2026-02-21 00:29:02
EVT0000310,CUST001153,NET BANKING,INITIATE_TRANSFER,
EVT0000311,CUST002280,Net_Banking,initiate_transfer,28-05-2026 12:20
EVT0000312,CUST003558,MOBILE APP,,11-05-2026 15:42
EVT0000313,CUST001318,NET_BANKING,LOGIN ,2026-04-20 15:36:16
EVT0000314,CUST000863,mobile_app,Logout,2026-05-24 05:50:49
EVT0000315,CUST003490,MOBILE_APP,INITIATE_TRANSFER,2026-01-16 17:49:39
EVT0000316,CUST002420,mobile_app,Initiate_Transfer,21/04/2026 23:03:10
EVT0000317,CUST003195,NET_BANKING,VIEW_BALANCE,29/05/2026 18:42:10
EVT0000318,CUST003888,Net_Banking,LOGOUT,14/06/2026 09:56:02
EVT0000319,CUST003222,net_banking,login,2026-05-29 16:20:49
EVT0000320,CUST000939,NET_BANKING, LOGOUT,28-06-2026 11:36
EVT0000321,CUST005045,Mobile_App,LOGOUT,2026-04-21 01:19:07
EVT0000322,CUST001411,NET_BANKING,VIEW_BALANCE,2026-04-21 11:06:03
EVT0000323,CUST000567,NET_BANKING,view_balance,2026-01-22 16:05:27
EVT0000324,CUST004406,net_banking,Login,2026-05-11 00:25:54
EVT0000325,CUST004487,mobile_app,Initiate_Transfer,29-07-2026 18:29
EVT0000326,CUST005142,NET_BANKING,initiate_transfer,2026-07-11 20:27:33
EVT0000327,CUST003039,net_banking,LOGIN,20-03-2026 17:18
EVT0000328,CUST001068,net_banking,LOGOUT,2026-02-25 01:00:38
EVT0000329,CUST003173,net_banking,VIEW_BALANCE,01/18/2026 04:42 AM
EVT0000330,CUST004079,NET_BANKING,view_balance,2026-06-23 07:40:17
EVT0000331,CUST003765,net_banking,LOGOUT,11/01/2026 21:07:23
EVT0000332,CUST000902,MOBILE_APP,Initiate_Transfer,2026-03-09 16:32:32
EVT0000333,CUST000716,net_banking,view_balance,24-07-2026 00:16
EVT0000334,CUST004878,net_banking,LOGIN ,21-07-2026 16:56
EVT0000335,CUST000103,MOBILE_APP,initiate_transfer,2026-07-07 16:41:46
EVT0000336,CUST002036,MOBILE APP,LOGIN ,30-07-2026 21:56
EVT0000337,CUST004659,NET_BANKING,initiate_transfer,2026-02-03 13:50:40
EVT0000338,CUST000111,Net_Banking,VIEW_BALANCE,22/01/2026 08:33:46
EVT0000339,CUST000801,NET_BANKING,LOGIN,2026-06-04 07:46:41
EVT0000340,CUST002863,MOBILE APP,LOGIN,19-07-2026 23:31
EVT0000341,CUST000050,net_banking,Logout,09-04-2026 06:56
EVT0000342,CUST001387,NET BANKING,LOGOUT,29-07-2026 02:50
EVT0000343,CUST003756,Mobile_App,Initiate_Transfer,30/07/2026 06:24:55
EVT0000344,CUST005060,Mobile_App,LOGOUT,18-02-2026 11:22
EVT0000345,CUST001084,NET_BANKING,initiate_transfer,08/03/2026 04:33:05
EVT0000346,CUST003292,NET_BANKING,Login,20/07/2026 17:34:01
